word1,word2,POS,SimLex999,conc(w1),conc(w2),concQ,Assoc(USF),SimAssoc333,SD(SimLex),stimulus,stimulusID,list
old,new,A,1.58,2.72,2.81,2,7.25,1,0.41,old / new,1,1
smart,intelligent,A,9.2,1.75,2.46,1,7.11,1,0.67,smart / intelligent,2,1
hard,difficult,A,8.77,3.76,2.21,2,5.94,1,1.19,hard / difficult,3,1
happy,cheerful,A,9.55,2.56,2.34,1,5.85,1,2.18,happy / cheerful,4,1
hard,easy,A,0.95,3.76,2.07,2,5.82,1,0.93,hard / easy,5,1
fast,rapid,A,8.75,3.32,3.07,2,5.66,1,1.68,fast / rapid,6,1
happy,glad,A,9.17,2.56,2.36,1,5.49,1,1.59,happy / glad,7,1
short,long,A,1.23,3.61,3.18,2,5.36,1,1.58,short / long,8,1
stupid,dumb,A,9.58,1.75,2.36,1,5.26,1,1.48,stupid / dumb,9,1
weird,strange,A,8.93,1.59,1.86,1,4.26,1,1.3,weird / strange,10,1
wide,narrow,A,1.03,3.06,3.04,2,4.06,1,0.58,wide / narrow,11,1
bad,awful,A,8.42,1.68,1.92,1,3.41,1,1.74,bad / awful,12,1
easy,difficult,A,0.58,2.07,2.21,1,2.83,1,0.36,easy / difficult,13,1
bad,terrible,A,7.78,1.68,2.04,1,2.31,1,1.43,bad / terrible,14,1
hard,simple,A,1.38,3.76,1.62,2,2.16,1,1.03,hard / simple,15,1
smart,dumb,A,0.55,1.75,2.36,1,2.1,1,0.47,smart / dumb,16,1
insane,crazy,A,9.57,1.77,2.37,1,2.09,1,0.92,insane / crazy,17,1
happy,mad,A,0.95,2.56,2.76,2,2.07,1,1.4,happy / mad,18,1
large,huge,A,9.47,3.37,3.54,2,2,1,1.27,large / huge,19,1
hard,tough,A,8.05,3.76,2.5,2,1.99,1,1.18,hard / tough,20,1
new,fresh,A,6.83,2.81,1.97,1,1.98,1,1.2,new / fresh,21,1
sharp,dull,A,0.6,3.86,2.37,2,1.48,1,1.39,sharp / dull,22,1
quick,rapid,A,9.7,2.89,3.07,2,1.38,1,1.14,quick / rapid,23,1
dumb,foolish,A,6.67,2.36,1.84,1,1.34,1,1.36,dumb / foolish,24,1
wonderful,terrific,A,8.63,1.82,2.07,1,1.17,1,1.63,wonderful / terrific,25,1
strange,odd,A,9.02,1.86,1.7,1,1.16,1,1.04,strange / odd,26,1
happy,angry,A,1.28,2.56,2.53,1,1.15,1,1.41,happy / angry,27,1
narrow,broad,A,1.18,3.04,2.45,2,1,1,1.18,narrow / broad,28,1
simple,easy,A,9.4,1.62,2.07,1,0.96,1,1.51,simple / easy,29,1
old,fresh,A,0.87,2.72,1.97,1,0.91,1,1.64,old / fresh,30,1
apparent,obvious,A,8.47,1.73,2.07,1,0.89,1,1.52,apparent / obvious,31,1
inexpensive,cheap,A,8.72,2.22,2.11,1,0.79,1,0.81,inexpensive / cheap,32,1
nice,generous,A,5,2.18,2.25,1,0.77,1,1.14,nice / generous,33,1
weird,normal,A,0.72,1.59,1.4,1,0.76,1,1.15,weird / normal,34,1
weird,odd,A,9.2,1.59,1.7,1,0.75,1,1.27,weird / odd,35,1
bad,immoral,A,7.62,1.68,1.59,1,0.74,1,0.98,bad / immoral,36,1
sad,funny,A,0.95,3.07,2.5,2,0.74,1,1.28,sad / funny,37,1
wonderful,great,A,8.05,1.82,1.81,1,0.7,1,1.05,wonderful / great,38,1
guilty,ashamed,A,6.38,2.36,1.74,1,0.69,1,0.47,guilty / ashamed,39,1
beautiful,wonderful,A,6.5,2.16,1.82,1,0.68,1,0.85,beautiful / wonderful,40,1
confident,sure,A,8.27,2.62,1.73,1,0.68,1,1.21,confident / sure,41,1
dumb,dense,A,7.27,2.36,3.14,2,0.68,1,0.43,dumb / dense,42,1
large,big,A,9.55,3.37,3.66,2,0.68,1,0.44,large / big,43,1
nice,cruel,A,0.67,2.18,2.11,1,0.49,1,1.53,nice / cruel,44,1
impatient,anxious,A,6.03,2.38,1.68,1,0.47,1,1.22,impatient / anxious,45,1
big,broad,A,6.73,3.66,2.45,2,0.47,1,1.68,big / broad,46,1
strong,proud,A,3.17,3.14,2.07,2,0.42,0,1.46,strong / proud,47,1
unnecessary,necessary,A,0.63,1.56,1.8,1,0.41,0,0.61,unnecessary / necessary,48,1
restless,young,A,1.6,2.46,3.16,2,0.41,0,0.85,restless / young,49,1
dumb,intelligent,A,0.75,2.36,2.46,1,0.37,0,1.5,dumb / intelligent,50,1
bad,great,A,0.35,1.68,1.81,1,0.35,0,1.49,bad / great,51,1
difficult,simple,A,0.87,2.21,1.62,1,0.34,0,0.44,difficult / simple,52,1
necessary,important,A,7.37,1.8,2.14,1,0.34,0,1.36,necessary / important,53,1
bad,terrific,A,0.65,1.68,2.07,1,0.28,0,1.43,bad / terrific,54,1
mad,glad,A,1.45,2.76,2.36,1,0.28,0,1.17,mad / glad,55,1
honest,guilty,A,1.18,1.66,2.36,1,0.27,0,1.68,honest / guilty,56,1
easy,tough,A,0.52,2.07,2.5,1,0.27,0,1.87,easy / tough,57,1
easy,flexible,A,4.1,2.07,2.64,1,0.27,0,1.08,easy / flexible,58,1
certain,sure,A,8.42,1.68,1.73,1,0.23,0,1.29,certain / sure,59,1
essential,necessary,A,8.97,1.52,1.8,1,0.21,0,1.11,essential / necessary,60,1
different,normal,A,1.08,1.97,1.4,1,0.21,0,1.75,different / normal,61,1
sly,clever,A,7.25,2.03,1.79,1,0.21,0,1.41,sly / clever,62,1
crucial,important,A,8.82,2.08,2.14,1,0.21,0,1.25,crucial / important,63,1
harsh,cruel,A,8.18,2.23,2.11,1,0.21,0,1.66,harsh / cruel,64,1
childish,foolish,A,5.5,2.52,1.84,1,0.21,0,1.45,childish / foolish,65,1
scarce,rare,A,9.17,2.57,1.96,1,0.21,0,1.21,scarce / rare,66,1
friendly,generous,A,5.9,2.32,2.25,1,0.21,0,0.6,friendly / generous,67,1
fragile,frigid,A,2.38,2.86,3.28,2,0.21,0,0.84,fragile / frigid,68,1
long,narrow,A,3.57,3.18,3.04,2,0.21,0,1.62,long / narrow,69,1
big,heavy,A,6.18,3.66,3.37,2,0.21,0,1.54,big / heavy,70,1
rough,frigid,A,2.47,3.83,3.28,2,0.21,0,1.37,rough / frigid,71,1
bizarre,strange,A,9.37,1.79,1.86,1,0.2,0,1.54,bizarre / strange,72,1
illegal,immoral,A,4.28,2.37,1.59,1,0.2,0,1.57,illegal / immoral,73,1
bad,guilty,A,4.2,1.68,2.36,1,0.2,0,1.47,bad / guilty,74,1
modern,ancient,A,0.73,2.31,2.04,1,0.2,0,0.71,modern / ancient,75,1
new,ancient,A,0.23,2.81,2.04,1,0.2,0,0.46,new / ancient,76,1
dull,funny,A,0.55,2.37,2.5,1,0.2,0,1.76,dull / funny,77,1
happy,young,A,2,2.56,3.16,2,0.2,0,0.47,happy / young,78,1
easy,big,A,1.12,2.07,3.66,2,0.2,0,1.22,easy / big,79,1
great,awful,A,1.17,1.81,1.92,1,0.15,0,1.53,great / awful,80,1
tiny,huge,A,0.6,3.11,3.54,2,0.15,0,0.59,tiny / huge,81,1
polite,proper,A,7.63,1.85,1.78,1,0.14,0,1.42,polite / proper,82,1
modest,ashamed,A,2.65,2.21,1.74,1,0.14,0,1,modest / ashamed,83,1
exotic,rare,A,8.05,2.11,1.96,1,0.14,0,0.93,exotic / rare,84,1
dumb,clever,A,1.17,2.36,1.79,1,0.14,0,1.3,dumb / clever,85,1
delightful,wonderful,A,8.65,2.38,1.82,1,0.14,0,1.29,delightful / wonderful,86,1
noticeable,obvious,A,8.48,2.29,2.07,1,0.14,0,1.69,noticeable / obvious,87,1
afraid,anxious,A,5.07,2.7,1.68,1,0.14,0,1.28,afraid / anxious,88,1
formal,proper,A,8.02,2.7,1.78,1,0.14,0,1.31,formal / proper,89,1
dreary,dull,A,8.25,2.33,2.37,1,0.14,0,1.85,dreary / dull,90,1
delightful,cheerful,A,6.58,2.38,2.34,1,0.14,0,1.56,delightful / cheerful,91,1
unhappy,mad,A,5.95,2.04,2.76,1,0.14,0,1.36,unhappy / mad,92,1
sad,terrible,A,5.4,3.07,2.04,1,0.14,0,0.44,sad / terrible,93,1
sick,crazy,A,3.57,2.97,2.37,2,0.14,0,0.95,sick / crazy,94,1
violent,angry,A,6.98,3.1,2.53,2,0.14,0,1.55,violent / angry,95,1
laden,heavy,A,5.9,2.96,3.37,2,0.14,0,1.28,laden / heavy,96,1
dirty,cheap,A,1.6,4.23,2.11,2,0.14,0,1.1,dirty / cheap,97,1
elastic,flexible,A,7.78,3.73,2.64,2,0.14,0,1.09,elastic / flexible,98,1
hard,dense,A,5.9,3.76,3.14,2,0.14,0,1,hard / dense,99,1
recent,new,A,7.05,2.5,2.81,2,0.13,0,1.05,recent / new,100,1
bold,proud,A,3.97,2.43,2.07,1,0.12,0,1.36,bold / proud,101,1
sly,strange,A,1.97,2.03,1.86,1,0,0,1.07,sly / strange,102,1
strange,sly,A,2.07,1.86,2.03,1,0,0,0.51,strange / sly,103,1
dumb,rare,A,0.48,2.36,1.96,1,0,0,1.55,dumb / rare,104,1
sly,tough,A,0.58,2.03,2.5,1,0,0,1.01,sly / tough,105,1
terrific,mad,A,0.4,2.07,2.76,1,0,0,0.86,terrific / mad,106,1
modest,flexible,A,0.98,2.21,2.64,1,0,0,1.89,modest / flexible,107,1
fresh,wide,A,0.4,1.97,3.06,1,0,0,1.41,fresh / wide,108,1
huge,dumb,A,0.48,3.54,2.36,2,0,0,0.91,huge / dumb,109,1
large,flexible,A,0.48,3.37,2.64,2,0,0,1.59,large / flexible,110,1
dirty,narrow,A,0.3,4.23,3.04,2,0,0,0.89,dirty / narrow,111,1
wife,husband,N,2.3,4.13,4.11,3,8.85,1,0.84,wife / husband,112,1
book,text,N,6.35,4.9,4.93,4,8.81,1,1.43,book / text,113,1
groom,bride,N,3.17,4.54,4.63,3,8.65,1,0.68,groom / bride,114,1
night,day,N,1.88,4.52,3.92,3,8.19,1,1.17,night / day,115,1
south,north,N,2.2,3.84,4.14,3,7.72,1,0.59,south / north,116,1
plane,airport,N,3.65,4.92,4.87,4,7.57,1,1.07,plane / airport,117,1
uncle,aunt,N,5.5,4.24,4.17,3,7.46,1,1.63,uncle / aunt,118,1
horse,mare,N,8.33,5,4.75,4,7.4,1,0.73,horse / mare,119,1
bottom,top,N,0.7,4.25,3.93,3,6.96,1,1.16,bottom / top,120,1
friend,buddy,N,8.78,3.07,3.48,2,6.87,1,0.93,friend / buddy,121,1
student,pupil,N,9.35,4.92,4.55,3,6.83,1,1.11,student / pupil,122,1
world,globe,N,6.67,4.36,4.59,3,6.79,1,0.67,world / globe,123,1
leg,arm,N,2.88,4.83,4.96,4,6.73,1,0.79,leg / arm,124,1
plane,jet,N,8.1,4.92,4.77,4,6.62,1,1.24,plane / jet,125,1
woman,man,N,3.33,4.46,4.79,3,6.6,1,1.42,woman / man,126,1
horse,colt,N,7.07,5,4.96,4,6.54,1,0.84,horse / colt,127,1
actress,actor,N,7.12,4.54,4.57,3,5.78,1,1.3,actress / actor,128,1
teacher,instructor,N,9.25,4.52,4.26,3,5.66,1,1.53,teacher / instructor,129,1
movie,film,N,8.87,4.59,4.71,3,5.43,1,1.72,movie / film,130,1
bird,hawk,N,7.85,5,4.93,4,5.29,1,0.91,bird / hawk,131,1
word,dictionary,N,3.68,3.56,4.62,3,5.2,1,1.56,word / dictionary,132,1
money,salary,N,7.88,4.54,3.69,3,5.16,1,1.11,money / salary,133,1
dog,cat,N,1.75,4.85,4.86,4,5.13,1,1.3,dog / cat,134,1
area,region,N,9.47,3.72,3.19,2,5.12,1,0.58,area / region,135,1
navy,army,N,6.43,3.93,4.7,3,5,1,0.53,navy / army,136,1
book,literature,N,7.53,4.9,4.1,3,4.86,1,0.45,book / literature,137,1
clothes,closet,N,3.27,4.76,4.83,4,4.83,1,1.29,clothes / closet,138,1
sunset,sunrise,N,2.47,4.54,4.69,3,4.8,1,1.12,sunset / sunrise,139,1
child,adult,N,2.98,4.78,4.4,3,4.59,1,1.48,child / adult,140,1
cow,cattle,N,9.52,4.96,4.64,4,4.39,1,0.79,cow / cattle,141,1
book,story,N,5.63,4.9,3.3,3,4.19,1,0.78,book / story,142,1
winter,summer,N,2.38,3.84,3.64,3,3.96,1,0.47,winter / summer,143,1
taxi,cab,N,9.2,4.93,4.88,4,3.86,1,1.23,taxi / cab,144,1
tree,maple,N,5.53,5,4.46,3,3.67,1,1.19,tree / maple,145,1
bed,bedroom,N,3.4,5,4.9,4,3.53,1,1.25,bed / bedroom,146,1
roof,ceiling,N,7.58,4.79,4.85,4,3.5,1,0.77,roof / ceiling,147,1
disease,infection,N,7.15,3.45,4.1,3,3.45,1,1.08,disease / infection,148,1
arm,shoulder,N,4.85,4.96,4.93,4,3.35,1,1.81,arm / shoulder,149,1
sheep,lamb,N,8.42,4.9,4.97,4,3.33,1,1.51,sheep / lamb,150,1
lady,gentleman,N,3.42,4.33,3.57,3,3.29,1,1.08,lady / gentleman,151,1
boat,anchor,N,2.25,4.93,4.77,4,3.25,1,1.1,boat / anchor,152,1
priest,monk,N,6.28,4.77,4.35,3,3.23,1,0.61,priest / monk,153,1
toe,finger,N,4.68,4.93,5,4,3.22,1,0.55,toe / finger,154,1
river,stream,N,7.3,4.89,4.5,3,3.21,1,0.81,river / stream,155,1
anger,fury,N,8.73,2.41,2.89,2,3.06,1,1.89,anger / fury,156,1
date,calendar,N,4.42,3.9,4.62,3,3.05,1,1.5,date / calendar,157,1
sea,ocean,N,8.27,4.79,4.86,4,2.91,1,1.3,sea / ocean,158,1
second,minute,N,4.62,3.3,3.04,2,2.84,1,1.15,second / minute,159,1
hand,thumb,N,3.88,4.72,4.96,4,2.84,1,0.44,hand / thumb,160,1
wood,log,N,7.3,4.85,4.96,4,2.79,1,0.87,wood / log,161,1
mud,dirt,N,7.32,4.86,4.86,4,2.76,1,0.48,mud / dirt,162,1
hallway,corridor,N,9.28,4.74,4.72,3,2.7,1,0.76,hallway / corridor,163,1
way,manner,N,7.62,2.34,1.62,1,2.56,1,0.44,way / manner,164,1
mouse,cat,N,1.12,4.83,4.86,4,2.56,1,1.02,mouse / cat,165,1
cop,sheriff,N,9.05,4.3,4.5,3,2.54,1,1.55,cop / sheriff,166,1
death,burial,N,4.93,3.73,3.93,3,2.46,1,1.88,death / burial,167,1
music,melody,N,6.98,4.31,3.71,3,2.43,1,1.36,music / melody,168,1
beer,alcohol,N,7.5,4.88,4.76,4,2.4,1,1.07,beer / alcohol,169,1
mouth,lip,N,7.1,4.74,4.96,4,2.28,1,1.4,mouth / lip,170,1
storm,hurricane,N,6.38,4.7,4.59,3,2.27,1,0.9,storm / hurricane,171,1
tax,income,N,2.38,3.89,3.07,2,2.25,1,1.15,tax / income,172,1
flower,violet,N,6.95,5,4.48,4,2.22,1,1.72,flower / violet,173,1
paper,cardboard,N,5.38,4.93,4.9,4,2.2,1,1.22,paper / cardboard,174,1
floor,ceiling,N,1.73,4.8,4.85,4,2.18,1,0.97,floor / ceiling,175,1
beach,seashore,N,8.33,4.79,4.63,3,2.15,1,0.47,beach / seashore,176,1
rod,curtain,N,3.03,4.43,4.82,3,2.13,1,0.39,rod / curtain,177,1
hound,fox,N,2.38,4.48,4.97,3,2.13,1,1.36,hound / fox,178,1
street,alley,N,5.48,4.75,4.82,4,2.07,1,1.62,street / alley,179,1
boat,deck,N,4.28,4.93,4.77,4,2.04,1,1.39,boat / deck,180,1
car,horn,N,2.57,4.89,5,4,2.04,1,0.79,car / horn,181,1
friend,guest,N,4.25,3.07,3.83,2,1.97,1,1.41,friend / guest,182,1
employer,employee,N,3.65,3.81,4.1,3,1.96,1,0.95,employer / employee,183,1
hand,wrist,N,3.97,4.72,4.93,4,1.96,1,1.32,hand / wrist,184,1
ball,cannon,N,2.58,5,4.79,4,1.96,1,1.82,ball / cannon,185,1
alcohol,brandy,N,6.98,4.76,4.81,4,1.93,1,0.57,alcohol / brandy,186,1
victory,triumph,N,8.98,2.55,2.17,1,1.9,1,0.94,victory / triumph,187,1
telephone,booth,N,3.63,4.96,4.42,3,1.88,1,1.1,telephone / booth,188,1
door,doorway,N,5.4,4.81,4.75,4,1.88,1,1.86,door / doorway,189,1
motel,inn,N,8.17,4.93,4.64,4,1.86,1,0.39,motel / inn,190,1
clothes,cloth,N,5.47,4.76,4.9,4,1.82,1,1.43,clothes / cloth,191,1
steak,meat,N,7.47,4.96,4.9,4,1.81,1,1.34,steak / meat,192,1
nail,thumb,N,3.55,4.93,4.96,4,1.76,1,1.16,nail / thumb,193,1
band,orchestra,N,7.08,4.68,4.79,4,1.75,1,1.36,band / orchestra,194,1
book,bible,N,5,4.9,4.61,4,1.74,1,1.43,book / bible,195,1
business,industry,N,7.02,3.28,3.29,2,1.73,1,1.1,business / industry,196,1
winter,season,N,6.27,3.84,3.32,2,1.71,1,1.76,winter / season,197,1
decade,century,N,3.48,3.19,2.83,2,1.64,1,1.36,decade / century,198,1
